region,activity,sex,count
Вінницька,Надання інших видів послуг,Жінки,1960
Вінницька,"Професійна, наукова та технічна діяльність",Жінки,227
Вінницька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,715
Вінницька,"Сільське господарство, лісове господарство та рибне господарство",Жінки,602
Вінницька,"Мистецтво, спорт, розваги та відпочинок",Жінки,185
Вінницька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,124
Вінницька,Добувна промисловість і розроблення кар'єрів,Жінки,12
Вінницька,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,861
Вінницька,Охорона здоров'я та надання соціальної допомоги,Жінки,445
Вінницька,Операції з нерухомим майном,Жінки,364
Вінницька,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,1053
Вінницька,Операції з нерухомим майном,Чоловіки,578
Вінницька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,315
Вінницька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,118
Вінницька,"Водопостачання; каналізація, поводження з відходами",Жінки,49
Вінницька,Освіта,Чоловіки,415
Вінницька,Освіта,Жінки,1208
Вінницька,Надання інших видів послуг,Чоловіки,4260
Вінницька,Інформація та телекомунікації,Жінки,142
Вінницька,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,105
Вінницька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,22
Вінницька,Тимчасове розміщування й організація харчування,Чоловіки,65
Вінницька,Переробна промисловість,Жінки,251
Вінницька,Тимчасове розміщування й організація харчування,Жінки,58
Вінницька,"Професійна, наукова та технічна діяльність",Чоловіки,304
Вінницька,Фінансова та страхова діяльність,Чоловіки,21
Вінницька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1415
Вінницька,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,772
Вінницька,"Водопостачання; каналізація, поводження з відходами",Чоловіки,145
Вінницька,Переробна промисловість,Чоловіки,865
Вінницька,Охорона здоров'я та надання соціальної допомоги,Чоловіки,649
Вінницька,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,2373
Вінницька,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1045
Вінницька,Інформація та телекомунікації,Чоловіки,221
Вінницька,Будівництво,Чоловіки,604
Вінницька,Будівництво,Жінки,118
Вінницька,Добувна промисловість і розроблення кар'єрів,Чоловіки,48
Вінницька,Фінансова та страхова діяльність,Жінки,13
Волинська,"Водопостачання; каналізація, поводження з відходами",Жінки,9
Волинська,Охорона здоров'я та надання соціальної допомоги,Жінки,294
Волинська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,51
Волинська,Освіта,Чоловіки,317
Волинська,Будівництво,Жінки,88
Волинська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1190
Волинська,Освіта,Жінки,998
Волинська,Фінансова та страхова діяльність,Жінки,6
Волинська,Переробна промисловість,Чоловіки,576
Волинська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,38
Волинська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1192
Волинська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,507
Волинська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,631
Волинська,Операції з нерухомим майном,Чоловіки,370
Волинська,Фінансова та страхова діяльність,Чоловіки,20
Волинська,Операції з нерухомим майном,Жінки,295
Волинська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,12
Волинська,Надання інших видів послуг,Чоловіки,3474
Волинська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,390
Волинська,Тимчасове розміщування й організація харчування,Жінки,86
Волинська,Надання інших видів послуг,Жінки,1183
Волинська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,192
Волинська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1062
Волинська,Добувна промисловість і розроблення кар'єрів,Жінки,6
Волинська,Будівництво,Чоловіки,368
Волинська,Тимчасове розміщування й організація харчування,Чоловіки,49
Волинська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,55
Волинська,Добувна промисловість і розроблення кар'єрів,Чоловіки,24
Волинська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,829
Волинська,Інформація та телекомунікації,Жінки,45
Волинська,Інформація та телекомунікації,Чоловіки,103
Волинська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,183
Волинська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,483
Волинська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,605
Волинська,"Мистецтво, спорт, розваги та відпочинок",Жінки,95
Волинська,"Професійна, наукова та технічна діяльність",Чоловіки,212
Волинська,"Професійна, наукова та технічна діяльність",Жінки,144
Волинська,Переробна промисловість,Жінки,201
Дніпропетровська,"Водопостачання; каналізація, поводження з відходами",Жінки,78
Дніпропетровська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,3016
Дніпропетровська,Переробна промисловість,Чоловіки,2917
Дніпропетровська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,217
Дніпропетровська,Добувна промисловість і розроблення кар'єрів,Чоловіки,86
Дніпропетровська,Будівництво,Чоловіки,1781
Дніпропетровська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,229
Дніпропетровська,Добувна промисловість і розроблення кар'єрів,Жінки,19
Дніпропетровська,Переробна промисловість,Жінки,991
Дніпропетровська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,960
Дніпропетровська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,88
Дніпропетровська,Будівництво,Жінки,552
Дніпропетровська,Операції з нерухомим майном,Жінки,1508
Дніпропетровська,"Мистецтво, спорт, розваги та відпочинок",Жінки,404
Дніпропетровська,Надання інших видів послуг,Жінки,3397
Дніпропетровська,Інформація та телекомунікації,Жінки,295
Дніпропетровська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,2623
Дніпропетровська,Охорона здоров'я та надання соціальної допомоги,Жінки,1152
Дніпропетровська,Операції з нерухомим майном,Чоловіки,1662
Дніпропетровська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,4018
Дніпропетровська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,657
Дніпропетровська,"Професійна, наукова та технічна діяльність",Чоловіки,1099
Дніпропетровська,Фінансова та страхова діяльність,Чоловіки,129
Дніпропетровська,Інформація та телекомунікації,Чоловіки,591
Дніпропетровська,Тимчасове розміщування й організація харчування,Чоловіки,215
Дніпропетровська,Діяльність домашніх господарств,Чоловіки,1
Дніпропетровська,Надання інших видів послуг,Чоловіки,6591
Дніпропетровська,Тимчасове розміщування й організація харчування,Жінки,228
Дніпропетровська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,215
Дніпропетровська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,1508
Дніпропетровська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,952
Дніпропетровська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,5803
Дніпропетровська,Освіта,Чоловіки,392
Дніпропетровська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,875
Дніпропетровська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,3954
Дніпропетровська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,463
Дніпропетровська,"Професійна, наукова та технічна діяльність",Жінки,821
Дніпропетровська,Освіта,Жінки,1958
Дніпропетровська,Фінансова та страхова діяльність,Жінки,102
Донецька,Будівництво,Чоловіки,178
Донецька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,463
Донецька,"Водопостачання; каналізація, поводження з відходами",Чоловіки,37
Донецька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,113
Донецька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,21
Донецька,Тимчасове розміщування й організація харчування,Жінки,18
Донецька,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,2461
Донецька,"Професійна, наукова та технічна діяльність",Чоловіки,144
Донецька,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,783
Донецька,Операції з нерухомим майном,Чоловіки,370
Донецька,Фінансова та страхова діяльність,Чоловіки,8
Донецька,Освіта,Чоловіки,403
Донецька,Охорона здоров'я та надання соціальної допомоги,Чоловіки,704
Донецька,Інформація та телекомунікації,Чоловіки,66
Донецька,Тимчасове розміщування й організація харчування,Чоловіки,12
Донецька,Переробна промисловість,Чоловіки,224
Донецька,Добувна промисловість і розроблення кар'єрів,Чоловіки,45
Донецька,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,386
Донецька,Переробна промисловість,Жінки,62
Донецька,Інформація та телекомунікації,Жінки,27
Донецька,Освіта,Жінки,2174
Донецька,Діяльність домашніх господарств,Чоловіки,1
Донецька,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,162
Донецька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,5
Донецька,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,1234
Донецька,Охорона здоров'я та надання соціальної допомоги,Жінки,638
Донецька,"Водопостачання; каналізація, поводження з відходами",Жінки,16
Донецька,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,3692
Донецька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,206
Донецька,Надання інших видів послуг,Чоловіки,5526
Донецька,Надання інших видів послуг,Жінки,3000
Донецька,Операції з нерухомим майном,Жінки,349
Донецька,Добувна промисловість і розроблення кар'єрів,Жінки,4
Донецька,Будівництво,Жінки,37
Донецька,Діяльність домашніх господарств,Жінки,1
Донецька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,40
Донецька,Фінансова та страхова діяльність,Жінки,8
Донецька,"Сільське господарство, лісове господарство та рибне господарство",Жінки,111
Донецька,"Професійна, наукова та технічна діяльність",Жінки,140
Донецька,"Мистецтво, спорт, розваги та відпочинок",Жінки,323
Житомирська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,703
Житомирська,Добувна промисловість і розроблення кар'єрів,Жінки,26
Житомирська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,79
Житомирська,"Професійна, наукова та технічна діяльність",Жінки,116
Житомирська,Тимчасове розміщування й організація харчування,Жінки,51
Житомирська,Надання інших видів послуг,Жінки,1439
Житомирська,Переробна промисловість,Жінки,297
Житомирська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,742
Житомирська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,104
Житомирська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,526
Житомирська,"Професійна, наукова та технічна діяльність",Чоловіки,214
Житомирська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,21
Житомирська,"Мистецтво, спорт, розваги та відпочинок",Жінки,333
Житомирська,Добувна промисловість і розроблення кар'єрів,Чоловіки,166
Житомирська,Будівництво,Чоловіки,395
Житомирська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,260
Житомирська,Освіта,Жінки,1222
Житомирська,Інформація та телекомунікації,Чоловіки,144
Житомирська,Будівництво,Жінки,75
Житомирська,Охорона здоров'я та надання соціальної допомоги,Жінки,404
Житомирська,Фінансова та страхова діяльність,Жінки,2
Житомирська,"Водопостачання; каналізація, поводження з відходами",Жінки,36
Житомирська,Переробна промисловість,Чоловіки,930
Житомирська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1104
Житомирська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,80
Житомирська,Тимчасове розміщування й організація харчування,Чоловіки,44
Житомирська,Фінансова та страхова діяльність,Чоловіки,14
Житомирська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1023
Житомирська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,474
Житомирська,Освіта,Чоловіки,307
Житомирська,Надання інших видів послуг,Чоловіки,3509
Житомирська,Операції з нерухомим майном,Жінки,251
Житомирська,Інформація та телекомунікації,Жінки,63
Житомирська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,1013
Житомирська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,454
Житомирська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,86
Житомирська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,242
Житомирська,Операції з нерухомим майном,Чоловіки,381
Закарпатська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,34
Закарпатська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,95
Закарпатська,Добувна промисловість і розроблення кар'єрів,Чоловіки,52
Закарпатська,Будівництво,Чоловіки,506
Закарпатська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,418
Закарпатська,"Водопостачання; каналізація, поводження з відходами",Жінки,16
Закарпатська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,58
Закарпатська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,512
Закарпатська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,124
Закарпатська,Переробна промисловість,Жінки,212
Закарпатська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,175
Закарпатська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,408
Закарпатська,Будівництво,Жінки,110
Закарпатська,Добувна промисловість і розроблення кар'єрів,Жінки,5
Закарпатська,Переробна промисловість,Чоловіки,631
Закарпатська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,940
